gradeId,artist,title,hasChords,hasTabs,url,youtubeViews,youtubeDuration,originalArtist
5,Red Hot Chili Peppers,Wet Sand [1/2] Intro & Verses,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-wet-sand-1-2-intro-verses-chords-tabs-guitar-lesson-st-364,293882,18:35,Red Hot Chili Peppers
6,Red Hot Chili Peppers,Snow (Hey Oh),yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-snow-hey-oh-chords-tabs-guitar-lesson-rf-020,1634698,12:23,Red Hot Chili Peppers
6,Red Hot Chili Peppers,Suck My Kiss,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-suck-my-kiss-chords-tabs-guitar-lesson-st-329,155967,15:28,Red Hot Chili Peppers
5,Red Hot Chili Peppers,Wet Sand [2/2] Rest Of Rhythm Parts,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-wet-sand-2-2-rest-of-rhythm-parts-chords-tabs-guitar-lesson-st-3642,106638,19:04,Red Hot Chili Peppers
6,Red Hot Chili Peppers,Wet Sand (The Solo)!,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-wet-sand-the-solo-chords-tabs-guitar-lesson-cs-009,114964,15:08,Red Hot Chili Peppers
5,Red Hot Chili Peppers,Under the Bridge [1/3],yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-under-the-bridge-1-3-chords-tabs-guitar-lesson-st-312,1109341,09:55,Red Hot Chili Peppers
4,Red Hot Chili Peppers,I Could Have Lied,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-i-could-have-lied-chords-tabs-guitar-lesson-sg-067,46627,20:17,Red Hot Chili Peppers
5,Red Hot Chili Peppers,Can't Stop [1/2],yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-can-t-stop-1-2-chords-tabs-guitar-lesson-st-306,929736,09:31,Red Hot Chili Peppers
5,Red Hot Chili Peppers,The Zephyr Song,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-the-zephyr-song-chords-tabs-guitar-lesson-st-391,214844,25:45,Red Hot Chili Peppers
6,Red Hot Chili Peppers,Road Trippin,yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-road-trippin-chords-tabs-guitar-lesson-st-387,400102,24:14,Red Hot Chili Peppers
5,Red Hot Chili Peppers,Under the Bridge [2/3],yes,True,https://justinguitar.com/songs/red-hot-chili-peppers-under-the-bridge-2-3-chords-tabs-guitar-lesson-st-3122,554848,09:24,Red Hot Chili Peppers
2,Elvis Presley,Blue Suede Shoes,yes,True,https://justinguitar.com/songs/elvis-presley-blue-suede-shoes-chords-tabs-guitar-lesson-bs-522,213361,11:14,Elvis Presley
2,Elvis Presley,I Can't Help Falling In Love With You,yes,False,https://justinguitar.com/songs/elvis-presley-i-can-t-help-falling-in-love-with-you-chords-tabs-guitar-lesson-bs-605,811707,07:30,Elvis Presley
1,Elvis Presley,That's All Right Mama,yes,True,https://justinguitar.com/songs/elvis-presley-that-s-all-right-mama-chords-tabs-guitar-lesson-bs-107,457467,07:22,Elvis Presley
1,Elvis Presley,Hound Dog,yes,True,https://justinguitar.com/songs/elvis-presley-hound-dog-chords-tabs-guitar-lesson-bs-103,1091478,04:25,Elvis Presley
2,Elvis Presley,Always On My Mind,yes,True,https://justinguitar.com/songs/elvis-presley-always-on-my-mind-chords-tabs-guitar-lesson-bs-921,192503,17:18,Elvis Presley
6,Elvis Presley,Merry Christmas Baby,yes,False,https://justinguitar.com/songs/elvis-presley-merry-christmas-baby-chords-tabs-guitar-lesson-st-107,69854,10:35,Elvis Presley
4,Elvis Presley,Love Me Tender,yes,False,https://justinguitar.com/songs/elvis-presley-love-me-tender-chords-tabs-guitar-lesson-sb-405,343235,10:55,Elvis Presley
3,Snow Patrol,Run,yes,False,https://justinguitar.com/songs/snow-patrol-run-chords-tabs-guitar-lesson-st-518,461923,09:34,Snow Patrol
3,Snow Patrol,Chasing Cars,yes,False,https://justinguitar.com/songs/snow-patrol-chasing-cars-chords-tabs-guitar-lesson-sb-201,601850,12:07,Snow Patrol
5,Natalie Imbruglia,Torn,yes,False,https://justinguitar.com/songs/natalie-imbruglia-torn-chords-tabs-guitar-lesson-sb-211,516863,09:36,Natalie Imbruglia
5,Steppenwolf,Born to Be Wild,yes,True,https://justinguitar.com/songs/steppenwolf-born-to-be-wild-chords-tabs-guitar-lesson-sb-305,757591,17:32,Steppenwolf
3,The Undertones,Teenage Kicks,yes,False,https://justinguitar.com/songs/the-undertones-teenage-kicks-chords-tabs-guitar-lesson-sb-310,142751,08:01,The Undertones
2,Stereophonics,Dakota,yes,True,https://justinguitar.com/songs/stereophonics-dakota-chords-tabs-guitar-lesson-bs-603,312603,08:27,Stereophonics
3,Stereophonics,Have A Nice Day,yes,False,https://justinguitar.com/songs/stereophonics-have-a-nice-day-chords-tabs-guitar-lesson-bs-707,281988,09:37,Stereophonics
4,Stereophonics,Handbags And Gladrags,yes,True,https://justinguitar.com/songs/stereophonics-handbags-and-gladrags-chords-tabs-guitar-lesson-sb-318,168467,08:37,Stereophonics
3,Midnight Oil,Beds Are Burning,yes,False,https://justinguitar.com/songs/midnight-oil-beds-are-burning-chords-tabs-guitar-lesson-sb-508,126579,15:43,Midnight Oil
1,Lucy Hale,You Sound Good To Me,yes,False,https://justinguitar.com/songs/lucy-hale-you-sound-good-to-me-chords-tabs-guitar-lesson-bs-192,37603,11:26,Lucy Hale
3,The Calling,Wherever You Will Go,yes,True,https://justinguitar.com/songs/the-calling-wherever-you-will-go-chords-tabs-guitar-lesson-bs-903,1053866,09:54,The Calling
6,Chic,Good Times,yes,True,https://justinguitar.com/songs/chic-good-times-chords-tabs-guitar-lesson-st-370,314208,09:20,Chic
1,U2,Desire,yes,True,https://justinguitar.com/songs/u2-desire-chords-tabs-guitar-lesson-bs-221,162810,09:30,U2
2,U2,One,yes,True,https://justinguitar.com/songs/u2-one-chords-tabs-guitar-lesson-bs-421,476644,18:51,U2
3,U2,All I Want Is You,yes,True,https://justinguitar.com/songs/u2-all-i-want-is-you-chords-tabs-guitar-lesson-bs-722,241316,14:18,U2
1,John Lennon,Working Class Hero,yes,True,https://justinguitar.com/songs/john-lennon-working-class-hero-chords-tabs-guitar-lesson-bs-310,813930,09:58,John Lennon
3,John Lennon,Imagine,yes,True,https://justinguitar.com/songs/john-lennon-imagine-chords-tabs-guitar-lesson-bs-992,1214891,11:46,John Lennon
